# date, sm, lat, lon
2017/03/24 01:10,0.211553337673,48.249394686,11.7198709761
2017/03/24 01:20,0.211501027147,48.249394686,11.7198709761
2017/03/24 01:30,0.211316707234,48.249394686,11.7198709761
2017/03/24 01:40,0.211316707234,48.249394686,11.7198709761
2017/03/24 01:50,0.211316707234,48.249394686,11.7198709761
2017/03/24 02:00,0.211424256365,48.249394686,11.7198709761
2017/03/24 02:10,0.211424256365,48.249394686,11.7198709761
2017/03/24 02:20,0.211608531574,48.249394686,11.7198709761
2017/03/24 02:30,0.211608531574,48.249394686,11.7198709761
2017/03/24 02:40,0.211792642872,48.249394686,11.7198709761
2017/03/24 02:50,0.211726687849,48.249394686,11.7198709761
2017/03/24 03:00,0.211781832079,48.249394686,11.7198709761
2017/03/24 03:10,0.211847787102,48.249394686,11.7198709761
